municipio;ano;precipitacao_sum;temp_orvalho_median
BAGE;2015;1980.4;17.6
BAGE;2016;1175.8;17.375
BAGE;2017;1535.6;17.6
BAGE;2018;1270.2;18.25
BAGE;2019;1715.8;18.35
BAGE;2020;1032.0;12.75
BAGE;2021;1168.0;13.25
BAGE;2022;1336.6;12.8
BAGE;2023;1797.6;14.4
BAGE;2024;1878.0;14.55
BAGE;2025;975.8;13.55
BENTO GONCALVES;2015;1548.0;16.95
BENTO GONCALVES;2016;1771.4;17.2
BENTO GONCALVES;2017;1860.8;17.6
BENTO GONCALVES;2018;1805.6;18.05
BENTO GONCALVES;2019;1256.0;18.15
BENTO GONCALVES;2020;1248.6;12.3
BENTO GONCALVES;2021;1298.4;12.85
BENTO GONCALVES;2022;1634.2;12.65
BENTO GONCALVES;2023;1963.2;14.25
BENTO GONCALVES;2024;2358.2;14.55
BENTO GONCALVES;2025;271.8;14.125
CACAPAVA DO SUL;2015;2192.0;17.3
CACAPAVA DO SUL;2016;1851.8;17.1
CACAPAVA DO SUL;2017;1887.8;17.3
CACAPAVA DO SUL;2018;1751.4;17.6
CACAPAVA DO SUL;2019;1917.0;17.85
CACAPAVA DO SUL;2020;1259.6;13.075
CACAPAVA DO SUL;2021;1123.4;13.4
CACAPAVA DO SUL;2022;1448.8;12.95
CACAPAVA DO SUL;2023;2244.0;14.9
CACAPAVA DO SUL;2024;2325.2;15.25
CACAPAVA DO SUL;2025;1498.5;14.0
CAMAQUA;2015;1998.8;18.35
CAMAQUA;2016;1617.2;18.15
CAMAQUA;2017;1427.0;18.65
CAMAQUA;2018;1739.0;18.9
CAMAQUA;2019;1382.0;18.6
CAMAQUA;2020;1267.2;15.6
CAMAQUA;2021;685.2;15.85
CAMAQUA;2022;1302.4;20.9
CAMAQUA;2023;1787.6;15.25
CAMAQUA;2024;1701.4;17.175
CAMAQUA;2025;1549.1;16.4
CAMBARA DO SUL;2017;1403.2;15.05
CAMBARA DO SUL;2018;1679.0;15.4
CAMBARA DO SUL;2019;1559.2;15.5
CAMBARA DO SUL;2020;1231.8;12.4
CAMBARA DO SUL;2021;1233.8;12.4
CAMBARA DO SUL;2022;1774.8;12.2
CAMBARA DO SUL;2023;2285.0;13.65
CAMBARA DO SUL;2024;2193.6;13.9
CAMBARA DO SUL;2025;1350.4;12.45
CAMPO BOM;2015;2460.4;20.15
CAMPO BOM;2016;1426.2;19.525
CAMPO BOM;2017;1874.4;20.35
CAMPO BOM;2018;1626.0;20.25
CAMPO BOM;2019;1742.0;20.2
CAMPO BOM;2020;1448.4;16.675
CAMPO BOM;2021;1439.0;
CAMPO BOM;2022;1757.6;13.4
CAMPO BOM;2023;2270.6;15.8
CAMPO BOM;2024;2128.2;16.6
CAMPO BOM;2025;1036.7;17.425
CANELA;2015;2388.8;16.25
CANELA;2016;2115.8;15.675
CANELA;2017;2001.4;15.75
CANELA;2018;2206.2;16.2
CANELA;2019;1910.2;16.15
CANELA;2020;1918.4;12.525
CANELA;2021;1516.0;12.4
CANELA;2022;1251.4;12.375
CANELA;2023;2818.8;13.7
CANELA;2024;3310.2;14.1
CANELA;2025;1151.7;14.8
CRUZ ALTA;2015;2464.4;18.7
CRUZ ALTA;2016;1634.2;18.2
CRUZ ALTA;2017;2050.4;18.65
CRUZ ALTA;2018;1775.4;18.85
CRUZ ALTA;2019;1342.2;18.6
CRUZ ALTA;2020;1395.2;12.825
CRUZ ALTA;2021;1425.6;13.275
CRUZ ALTA;2022;1436.6;13.05
CRUZ ALTA;2023;2220.6;14.975
CRUZ ALTA;2024;1888.0;15.7
CRUZ ALTA;2025;1204.6;13.975
ERECHIM;2015;1818.2;18.4
ERECHIM;2016;906.2;17.325
ERECHIM;2017;1717.2;17.6
ERECHIM;2018;1319.8;17.3
ERECHIM;2019;1770.4;18.1
ERECHIM;2020;1347.6;12.875
ERECHIM;2021;952.6;13.0
ERECHIM;2022;750.0;12.8
ERECHIM;2023;1633.8;14.95
ERECHIM;2024;2246.2;14.975
ERECHIM;2025;1662.1;13.4
