Município;2015/Jan;2015/Fev;2015/Mar;2015/Abr;2015/Mai;2015/Jun;2015/Jul;2015/Ago;2015/Set;2015/Out;2015/Nov;2015/Dez;2016/Jan;2016/Fev;2016/Mar;2016/Abr;2016/Mai;2016/Jun;2016/Jul;2016/Ago;2016/Set;2016/Out;2016/Nov;2016/Dez;2017/Jan;2017/Fev;2017/Mar;2017/Abr;2017/Mai;2017/Jun;2017/Jul;2017/Ago;2017/Set;2017/Out;2017/Nov;2017/Dez;2018/Jan;2018/Fev;2018/Mar;2018/Abr;2018/Mai;2018/Jun;2018/Jul;2018/Ago;2018/Set;2018/Out;2018/Nov;2018/Dez;2019/Jan;2019/Fev;2019/Mar;2019/Abr;2019/Mai;2019/Jun;2019/Jul;2019/Ago;2019/Set;2019/Out;2019/Nov;2019/Dez;2020/Jan;2020/Fev;2020/Mar;2020/Abr;2020/Mai;2020/Jun;2020/Jul;2020/Ago;2020/Set;2020/Out;2020/Nov;2020/Dez;2021/Jan;2021/Fev;2021/Mar;2021/Abr;2021/Mai;2021/Jun;2021/Jul;2021/Ago;2021/Set;2021/Out;2021/Nov;2021/Dez;2022/Jan;2022/Fev;2022/Mar;2022/Abr;2022/Mai;2022/Jun;2022/Jul;2022/Ago;2022/Set;2022/Out;2022/Nov;2022/Dez;2023/Jan;2023/Fev;2023/Mar;2023/Abr;2023/Mai;2023/Jun;2023/Jul;2023/Ago;2023/Set;2023/Out;2023/Nov;2023/Dez;2024/Jan;2024/Fev;2024/Mar;2024/Abr;2024/Mai;2024/Jun;2024/Jul;2024/Ago;2024/Set;2024/Out;2024/Nov;2024/Dez;2025/Jan;2025/Fev;2025/Mar;2025/Abr;2025/Mai;2025/Jun;2025/Jul;2025/Ago;2025/Set;2025/Out;2025/Nov;2025/Dez
430160 BAGE;7;11;11;15;18;7;10;10;14;8;21;10;7;4;8;6;14;10;7;11;1;4;4;6;2;5;2;7;7;7;14;10;11;14;5;7;4;2;10;12;6;8;14;11;6;12;4;8;7;5;5;5;9;9;10;10;8;5;8;3;2;7;4;1;2;4;3;9;5;6;7;2;2;3;2;5;3;1;6;3;-;6;5;3;4;2;5;4;8;8;8;7;5;8;6;6;7;1;5;15;9;12;10;10;7;12;8;4;7;3;5;10;7;16;19;6;6;11;6;8;3;7;8;7;19;16;23;19;10;14;4;7
430210 BENTO GONCALVES;6;7;9;9;9;8;15;6;11;6;11;6;3;2;8;5;9;12;8;10;8;6;8;13;10;4;9;9;6;14;15;15;6;3;7;3;2;8;5;9;9;11;18;10;9;7;6;3;5;2;2;13;13;6;7;10;6;7;11;5;3;5;6;4;1;-;1;3;2;4;3;2;2;-;-;3;4;1;2;2;4;3;5;1;3;3;2;2;1;6;3;4;3;5;3;4;1;1;5;4;8;8;4;6;3;4;2;5;1;5;6;6;3;4;6;5;3;2;2;-;4;2;2;4;4;5;2;3;5;3;2;2
430280 CACAPAVA DO SUL;3;6;7;6;16;14;24;19;10;8;8;8;9;8;8;8;15;14;17;30;14;20;13;10;12;6;7;14;15;17;32;27;16;13;4;5;6;7;11;9;3;13;12;21;9;8;12;7;4;8;5;3;4;8;8;7;3;5;-;4;-;-;-;-;-;-;1;1;2;5;2;2;4;-;-;1;-;-;-;1;2;5;4;3;1;-;-;2;-;5;-;3;2;2;1;2;-;1;3;1;2;1;1;-;2;-;-;2;1;1;-;-;-;-;3;3;2;1;1;2;2;-;-;2;3;4;2;4;2;1;1;-
430350 CAMAQUA;9;3;11;9;5;13;11;9;11;4;11;17;4;4;6;2;2;11;14;12;8;12;6;2;-;3;5;7;7;7;18;14;4;1;5;1;1;2;1;-;2;8;8;3;3;2;2;6;1;2;2;-;6;9;11;7;3;4;1;1;1;1;-;1;2;-;3;4;-;-;1;1;1;1;2;-;2;3;6;8;6;5;6;1;4;4;9;5;7;9;9;6;9;6;5;6;4;4;6;7;11;8;14;9;6;7;6;3;8;3;3;5;8;4;5;5;4;12;2;3;-;2;2;5;9;10;17;11;6;6;6;3
430360 CAMBARA DO SUL;-;-;-;1;-;1;1;-;1;-;-;-;1;-;-;1;1;-;1;1;2;4;3;3;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;3;1;1;2;1;-;-;-;1;1;-;-;2;-;-;-;-;-;-;-;-;1;-;2;1;1;-;-;-;1;1;-;3;1;3;1;4;-;-;1;-;-;1;1;-;2;-;3;1;-;1;-;-;-;-;1;1;1;1;-;1;-;-;1;1;-;-;-;-;1;2;1;2;3;-;-;1;1
430390 CAMPO BOM;-;3;-;6;7;6;3;6;-;3;2;2;1;4;-;6;2;4;3;4;3;1;2;3;-;3;2;2;5;11;5;2;6;4;1;3;2;8;4;2;7;13;10;13;2;2;-;2;2;1;5;4;9;9;3;3;5;3;3;-;5;2;2;1;-;2;1;3;-;1;1;1;-;1;-;-;2;-;-;1;1;2;2;1;4;2;-;4;2;-;4;5;3;2;3;2;2;-;1;2;2;3;5;4;1;4;1;4;1;2;3;3;4;5;7;4;5;5;4;1;5;4;4;5;5;9;7;6;2;3;3;3
430440 CANELA;1;-;4;6;7;4;6;3;7;3;1;6;3;1;3;3;4;7;4;8;2;11;10;8;1;1;4;5;2;6;4;9;7;12;2;11;4;2;8;3;4;1;-;3;3;-;1;-;1;-;-;2;3;3;1;2;5;3;1;-;3;1;5;6;1;-;3;2;5;2;2;3;1;2;-;1;-;1;2;5;1;5;5;3;-;1;1;1;7;7;5;2;7;4;4;2;3;3;4;2;2;6;6;3;4;2;2;3;-;-;3;8;3;1;7;4;5;3;1;1;2;5;2;5;7;2;6;5;2;5;2;-
430610 CRUZ ALTA;2;6;4;7;4;10;9;8;9;15;15;13;7;8;5;11;6;14;10;11;11;10;6;7;12;5;4;6;8;11;7;12;9;8;6;4;9;5;5;11;6;14;15;11;10;10;5;5;1;4;11;12;11;6;3;8;14;5;4;1;3;3;-;-;2;5;2;3;2;1;7;6;2;-;1;1;1;2;5;3;10;9;10;6;11;3;5;15;9;19;21;10;4;5;2;4;3;7;7;9;8;5;9;6;2;4;10;5;5;5;5;12;5;7;9;5;4;8;2;3;1;2;3;11;5;8;8;6;2;1;-;-
430700 ERECHIM;5;9;16;9;9;15;14;6;7;15;10;12;15;16;13;12;28;19;28;30;23;17;15;8;6;6;9;10;17;16;11;10;11;8;13;14;9;10;6;5;5;9;10;15;11;7;3;2;2;2;7;9;5;9;15;8;6;4;1;2;6;2;2;2;-;-;3;2;3;3;7;2;2;-;-;3;5;1;1;2;5;4;3;3;7;3;2;5;8;14;7;9;7;9;4;3;5;-;2;4;10;9;10;7;3;2;3;4;2;4;1;7;1;9;10;6;12;6;4;5;5;2;4;-;4;7;6;2;3;2;-;-
430850 FREDERICO WESTPHALEN;9;6;8;4;15;18;14;16;8;9;18;11;11;11;12;13;26;28;35;27;17;18;8;5;3;3;5;5;15;26;22;15;19;10;9;4;11;4;11;10;13;21;14;18;13;19;14;10;5;9;8;5;16;20;25;22;23;13;10;11;4;9;6;2;6;6;4;8;8;4;3;7;6;1;1;3;2;1;7;6;3;3;8;11;10;10;12;12;25;25;14;14;3;8;2;5;3;2;9;3;11;17;15;16;15;7;8;10;8;11;6;15;11;13;23;10;9;17;11;14;3;5;7;3;7;13;10;7;9;12;8;4
