Município;2015/Jan;2015/Fev;2015/Mar;2015/Abr;2015/Mai;2015/Jun;2015/Jul;2015/Ago;2015/Set;2015/Out;2015/Nov;2015/Dez;2016/Jan;2016/Fev;2016/Mar;2016/Abr;2016/Mai;2016/Jun;2016/Jul;2016/Ago;2016/Set;2016/Out;2016/Nov;2016/Dez;2017/Jan;2017/Fev;2017/Mar;2017/Abr;2017/Mai;2017/Jun;2017/Jul;2017/Ago;2017/Set;2017/Out;2017/Nov;2017/Dez;2018/Jan;2018/Fev;2018/Mar;2018/Abr;2018/Mai;2018/Jun;2018/Jul;2018/Ago;2018/Set;2018/Out;2018/Nov;2018/Dez;2019/Jan;2019/Fev;2019/Mar;2019/Abr;2019/Mai;2019/Jun;2019/Jul;2019/Ago;2019/Set;2019/Out;2019/Nov;2019/Dez;2020/Jan;2020/Fev;2020/Mar;2020/Abr;2020/Mai;2020/Jun;2020/Jul;2020/Ago;2020/Set;2020/Out;2020/Nov;2020/Dez;2021/Jan;2021/Fev;2021/Mar;2021/Abr;2021/Mai;2021/Jun;2021/Jul;2021/Ago;2021/Set;2021/Out;2021/Nov;2021/Dez;2022/Jan;2022/Fev;2022/Mar;2022/Abr;2022/Mai;2022/Jun;2022/Jul;2022/Ago;2022/Set;2022/Out;2022/Nov;2022/Dez;2023/Jan;2023/Fev;2023/Mar;2023/Abr;2023/Mai;2023/Jun;2023/Jul;2023/Ago;2023/Set;2023/Out;2023/Nov;2023/Dez;2024/Jan;2024/Fev;2024/Mar;2024/Abr;2024/Mai;2024/Jun;2024/Jul;2024/Ago;2024/Set;2024/Out;2024/Nov;2024/Dez;2025/Jan;2025/Fev;2025/Mar;2025/Abr;2025/Mai;2025/Jun;2025/Jul;2025/Ago;2025/Set;2025/Out;2025/Nov;2025/Dez
430160 BAGE;18;14;17;20;10;13;21;18;17;16;20;9;14;16;12;11;26;29;12;18;24;15;15;17;17;20;18;17;33;20;17;29;16;21;16;19;14;16;23;12;19;20;31;21;24;22;25;26;42;17;20;37;31;22;26;37;39;47;21;18;19;23;22;8;15;24;34;22;28;22;14;14;20;5;7;10;13;8;19;20;22;17;15;19;9;8;23;21;12;17;17;14;20;15;27;20;15;13;14;15;26;22;19;25;19;29;18;15;18;23;17;23;28;28;37;26;47;42;26;15;12;24;16;12;26;19;28;26;28;27;20;19
430210 BENTO GONCALVES;10;9;8;5;5;9;11;11;7;8;11;2;4;2;6;6;9;7;3;8;9;5;9;10;10;7;11;7;11;13;10;15;6;6;7;6;7;3;7;9;10;2;7;3;11;6;9;4;7;8;12;11;6;8;11;9;4;9;4;10;7;7;1;9;6;5;4;6;9;9;11;3;3;5;4;4;7;2;3;8;4;6;7;5;2;3;4;5;6;8;5;6;6;5;4;2;1;5;3;4;7;-;6;9;8;8;10;3;6;-;7;7;3;4;4;5;4;3;6;7;6;3;6;6;8;5;6;4;8;9;7;4
430280 CACAPAVA DO SUL;16;6;15;12;16;12;16;17;13;11;22;12;7;9;12;12;19;18;11;15;12;15;10;5;9;10;12;10;11;16;11;13;13;15;9;11;16;12;3;16;8;9;12;12;15;17;9;12;5;6;7;8;6;4;10;14;11;6;7;10;8;1;4;6;2;4;3;4;4;2;5;7;2;-;-;-;2;2;5;6;3;2;4;2;4;3;4;4;2;1;6;5;4;4;3;1;1;1;1;4;4;3;7;4;7;8;4;2;4;3;-;4;3;5;3;6;5;5;5;5;8;7;4;6;6;6;3;2;1;2;3;3
430350 CAMAQUA;7;4;5;4;9;10;7;5;12;13;16;8;9;9;11;12;9;16;13;12;6;17;13;6;12;9;19;10;16;14;13;14;9;11;15;14;18;11;12;4;17;14;10;14;19;18;11;6;13;11;15;12;17;15;12;16;15;15;8;14;16;14;14;14;6;12;9;11;7;14;13;13;6;3;4;3;5;4;12;8;6;4;5;12;2;9;8;8;15;19;17;14;17;6;6;9;13;18;7;7;12;21;8;17;8;14;9;14;12;7;6;11;11;10;15;18;8;13;11;6;8;9;9;8;1;5;7;9;9;8;12;5
430360 CAMBARA DO SUL;2;1;1;-;-;-;-;1;-;-;-;-;1;-;-;2;2;-;-;1;-;-;-;1;1;-;-;-;1;1;-;-;-;1;-;-;1;1;-;1;1;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;1;1;-;1;2;1;-;1;1;-;-;-;-;1;-;2;1;-;1;-;-;1;-;1;-;-;-;-;-;2;1;1;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;1;-;-;1;-;-;2;-;1;-;-;1;2;-;-;-;-;2;-;1;1;1;1;-;1;-;-;-
430390 CAMPO BOM;4;2;2;1;7;2;5;2;5;5;6;2;4;2;5;2;3;7;4;5;7;3;5;-;4;6;4;4;4;5;4;6;5;10;3;1;7;5;4;4;11;7;6;6;3;3;5;4;4;3;1;12;9;7;7;3;6;4;4;5;3;5;4;5;5;7;1;2;3;2;3;2;1;4;1;6;4;5;4;9;5;6;3;8;4;4;4;6;6;6;4;10;6;10;6;6;3;5;1;3;8;6;8;5;5;2;11;5;1;4;6;8;3;8;6;5;11;9;3;7;6;10;6;4;10;10;16;7;10;6;4;3
430440 CANELA;8;9;7;2;10;7;7;9;5;5;3;9;5;4;4;5;7;5;3;3;10;2;2;11;3;3;1;7;5;4;13;5;4;5;5;5;1;-;3;1;2;1;1;1;-;3;3;1;2;2;1;-;1;-;1;-;2;2;5;1;4;4;2;2;3;3;3;4;2;1;2;2;2;4;1;3;4;1;3;2;2;2;1;3;4;4;2;2;4;-;2;-;1;-;-;-;-;2;-;1;2;2;-;1;-;5;5;-;-;6;1;5;7;5;5;3;6;2;2;1;2;-;1;1;1;1;-;1;2;1;4;2
430610 CRUZ ALTA;5;4;5;9;8;5;14;12;17;16;10;10;11;6;1;4;9;7;6;14;7;8;6;9;10;4;6;7;4;17;7;6;8;7;4;13;6;7;6;2;12;9;13;8;5;15;9;6;2;3;4;6;5;9;11;12;15;5;9;4;4;9;11;4;4;2;2;4;4;3;8;3;4;1;2;7;9;7;10;5;5;12;5;7;7;5;6;6;4;8;7;11;16;14;9;10;17;8;14;10;9;14;14;12;13;7;14;8;6;7;4;5;6;6;5;14;13;7;12;10;5;3;9;2;6;7;15;11;11;1;-;-
430700 ERECHIM;12;11;9;16;22;17;10;20;13;18;9;15;12;17;14;13;19;23;14;20;15;12;18;17;15;9;6;11;6;8;11;20;16;14;15;10;11;8;5;17;9;12;17;14;16;13;9;13;22;11;11;13;12;9;16;20;11;5;1;6;8;11;10;7;11;7;10;13;13;10;9;9;11;10;9;8;20;11;14;12;11;10;10;11;6;8;3;5;14;14;14;15;10;18;23;17;16;19;16;19;13;14;15;15;12;12;13;18;14;16;18;16;14;12;20;18;21;20;12;6;14;12;11;24;8;12;17;15;16;9;5;-
430850 FREDERICO WESTPHALEN;1;1;4;2;7;8;10;6;5;2;6;6;5;3;2;3;2;2;2;5;3;2;2;5;5;1;6;4;4;4;2;4;1;5;4;4;7;1;1;5;4;4;2;7;8;8;5;3;1;1;4;5;4;5;5;3;4;2;4;3;2;7;6;3;4;5;5;4;4;3;6;8;5;5;2;6;2;1;3;5;2;5;2;3;4;2;6;3;2;4;7;7;6;1;4;3;3;-;3;-;4;5;3;6;2;1;5;5;3;3;3;7;3;10;3;4;3;6;7;8;5;5;9;6;3;3;6;7;11;4;5;10
